Sr. no. ,Song Title ,Movie,Year of release,Music director,Song type,Singer type,Singers,Youtube link,Audio Link
141,Dekho Yeh Mere Bandhe Haath,Bandhe Haath,1973,R D Barman,Solo,Male ,Kishor Kumar ,https://www.youtube.com/watch?v=oId_DDDK2PQ,http://mymp3song.org/filedownload/5443/dekho_yeh_mere_bandhe_haath
142,Dekhta Hoon Koi Ladki Haseen,Sanam Teri Kasam,1982,R D Barman,Solo,Male,Kishor Kumar ,https://www.youtube.com/watch?v=p4DW35zKCM8,http://mymp3song.org/filedownload/14960/dekhta_hoon_koi_ladki_haseen
143,Des Chhudaye Bhes Chhudaye,Chacha Zindabad,1959,Madan Mohan,Solo,Male,Kishor Kumar ,https://www.youtube.com/watch?v=P3_02gbdhXk,http://mymp3song.org/filedownload/3744/des_chhudaye_bhes_chhudaye
144,Deva Ho Deva,Ilaaka,1989,Nadim Shravan,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=fI5lSPzg3qk,http://mymp3song.org/filedownload/38079/deva_ho_deva
145,Devi O Baby Tu Banja,Maqsad,1984,Kalyanji Anandji,Solo,Male,Kishor Kumar ,https://www.youtube.com/watch?v=_58ejJFQh30,http://mymp3song.org/filedownload/56227/devi_o_baby_tu_banja
146,Devta Mana Aur Pooja,Albela,1971,Shankar Jaikishan,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=7gaJLN3Gug0,http://mymp3song.org/filedownload/38591/devta_mana_aur_pooja
147,Dhal Gayi Rang Mein Teri,Hiralal Pannalal,1978,R D Barman,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=VHs7zxz2FR0,http://mymp3song.org/filedownload/43816/dhal_gayi_rang_mein_teri
148,Dheere Dheere Naach,Bhola Bhala,1978,R D Barman,Solo,Male,Kishor Kumar ,https://www.youtube.com/watch?v=-rd2ULITSUs,http://mymp3song.org/filedownload/5306/dheere_dheere_naach
149,Dhoondha Tujhe Lakhon Me,Putalibai,1971,Jai Kumar,Solo,Male,Kishor Kumar ,https://www.youtube.com/watch?v=6q3suelPS6Y,http://mymp3song.org/filedownload/40918/dhoondha_tujhe_lakhon_me
150,Dhoop Mein Nikla Na Karo,Giraftar,1985,Bappi Lahiri,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=PJ9BkonDfUo,http://mymp3song.org/filedownload/2555/dhoop_mein_nikla_na_karo
151,Dil Se Mile Dil,Dil Se Mile Dil,1978,Bappi Lahiri,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=dk4FgDWaMjU,http://mymp3song.org/filedownload/42625/dil_se_mile_dil
152,Dil Tera Hai Main Bhi Teri Hoon,Bombay To Goa,1972,R D Burman,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=5hR2b__EhKw,http://mymp3song.org/filedownload/5459/dil_tera_hai_main_bhi_teri_hoon
153,Dilbar Mere Kab Tak Muze,Satte Pe Satta,1982,R D Burman,Duet,Male& Female,Kishor Kumar& Annette Pinto,https://www.youtube.com/watch?v=aFxEmdEtBN0,http://mymp3song.org/filedownload/14971/dilbar_mere_kab_tak
154,Dillagi Ne Di Hawa,Dostana,1980,laxmikant Pyarelal,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=bpujSEAZhhc,http://mymp3song.org/filedownload/42691/dillagi_ne_di_hawa
155,Dilwale Aaye Hai,Fifty Fifty,1981,laxmikant Pyarelal,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=dl5jb4iRUxA,http://mymp3song.org/filedownload/954/dilwala_aaya_hai
156,Din Jawani Ke Char Yar,Pyar Kiya Ja,1966,laxmikant Pyarelal,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=UoGtKhvaomY,http://mymp3song.org/filedownload/40883/din_jawani_ke_chaar
157,Din Mahine Sal,Avtaar,1983,lakshmikant Pyarelal,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=NTf_QWVAEY8,http://mymp3song.org/filedownload/12306/din_mahine_saal
158,Disco 82,Khuddar,1982,Rajesh Roshan,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=_iZIGeFLi5s,http://mymp3song.org/filedownload/11702/disco_82
159,Diwana Main Hoon Tera,Ruksat,1988,Kalyanji Aanandji,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=nxbCYjqxnI4,http://mymp3song.org/filedownload/41653/diwana_main_hoon_tera
160,Diye Jalte Hai,Namak Haram,1973,R D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=Ti5SNrWxftE,http://mymp3song.org/filedownload/12762/diye_jalte_hain
161,Do Panchhi  Do Tinke,Tapasya,1975,Ravindra Jain,Duet,Male& Female,Kishor Kumar& Aarti Mukharji,https://www.youtube.com/watch?v=HDXjrfVPXtI,http://mymp3song.org/filedownload/14015/do_panchhi_do_tinke
162,Duriyaa Nazdikiyan ban Gayi,Duriya,1968,Shankar Jaykishan,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=7jRVIT5Tpj8,http://mymp3song.org/filedownload/42469/dooriyan_nazdikiyan_ban_gayi
163,Dosaton Ko Salam,Rocky,1981,R D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=w1r8XJeQsks&spfreload=10,http://mymp3song.org/filedownload/12811/doston_ko_salaam
164,Dream Girl,Dream Girl,1977,laxmikant Pyarelal,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=okQ-hUubqJU,http://mymp3song.org/filedownload/20376/dream_girl
165,Dukhi Man Mere,Funtoosh,1956,S D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=EO5p467Yix8,http://mymp3song.org/filedownload/39315/dukhi_man_mere
166,Dukki Pe Dukki Ho,Satte Pe Satta,1972,R D Burman,Duet,Male& Female,Kishor Kumar&Asha Bhosale& R D Burman,https://www.youtube.com/watch?v=lF926PJ30LQ,http://mymp3song.org/filedownload/14970/dukki_pe_dukki_ho
167,Do Baate Pyar Bhari Kar Loon,Aankhon Aankhon Mein ,1982,Shankar Jaykishan,Duet,Male& Female,Kishor Kumar&Asha Bhosale,https://www.youtube.com/watch?v=9IYo4VAY6FA,http://mymp3song.org/filedownload/38596/do_baaten_pyar_bhari_kar_loon
168,Dulha Dulhan Ki Jodi,Nastik,1983,Kalyanji Aanandji,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=JSBbstuM9t0,http://mymp3song.org/filedownload/11972/dulha_dulhan_ki_jodi
169,Duniya Bahut Hi Kamal hai,Duniya ,1984,R D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=LxXaLispvRA,http://mymp3song.org/filedownload/20303/duniya_bahut_hi_kamaal_hai
